# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
shang zhou 	上週	c=0 d=0.1 t=17969
shang zhou wu 	上週五	c=1 d=1 t=17970
shao 	紹	c=1 d=1 t=9483
shao deng 	稍等	c=1 d=1 t=18003
shao le 	少了	c=2 d=1.00557 t=5712
shao liang 	少量	c=1 d=1 t=26158
shao zhi 	紹志	c=1 d=1 t=17744
she 	涉	c=2 d=1.99501 t=21818
she bao 	社保	c=1 d=1 t=10413
she bei 	設備	c=3 d=2.56218 t=20431
she cheng 	設成	c=3 d=1.2739 t=17130
she chi 	奢侈	c=0 d=0.1 t=4019
she chi le dian 	奢侈了點	c=1 d=1 t=4020
she ding 	設定	c=2 d=1 t=6345
she ji 	涉及	c=4 d=1 t=18421
she ji 	設計	c=17 d=1 t=26681
she wei 	設爲	c=3 d=1 t=26754
she zhi 	設置	c=64 d=1.51127 t=26973
she zhi cheng 	設置成	c=2 d=1 t=10782
she zhi le 	設置了	c=3 d=1 t=20877
shen 	深	c=2 d=1 t=14502
shen bao 	申報	c=1 d=1 t=9682
shen dian 	神殿	c=1 d=1 t=433
shen diao xia lv 	神雕俠侶	c=1 d=1 t=4742
shen fen zheng 	身份證	c=4 d=1.15382 t=11215
shen me 	什麼	c=88 d=1.03407 t=27196
shen me cao zuo 	什麼操作	c=1 d=1 t=9930
shen me shi 	什麼是	c=1 d=1 t=20037
shen me yang de 	什麼樣的	c=1 d=1 t=23299
shen men 	神門	c=0 d=0.1 t=21756
shen meng 	申夢	c=1 d=1 t=6275
shen mi 	神祕	c=1 d=1 t=2479
shen pan 	審判	c=1 d=1 t=4782
shen qi 	神奇	c=3 d=1 t=24926
shen qian 	深潛	c=1 d=1 t=13624
shen qing 	申請	c=6 d=1.01792 t=18451
shen qing biao 	申請表	c=1 d=0.153934 t=10257
shen ru 	深入	c=1 d=1 t=20347
shen shang 	身上	c=1 d=1 t=8329
shen ti 	身體	c=1 d=1 t=4365
shen zhen 	深圳	c=4 d=3.52554 t=4496
shen zhen de 	深圳的	c=1 d=1 t=4444
shen zhi 	神智	c=1 d=1 t=7813
sheng 	剩	c=1 d=1 t=2369
sheng 	昇	c=1 d=1 t=11073
sheng 	生	c=1 d=1 t=19540
sheng bing 	生病	c=1 d=1 t=7003
sheng chan 	生產	c=2 d=1.57121 t=27333
sheng chan huan jing 	生產環境	c=1 d=1 t=23214
sheng cheng 	生成	c=15 d=1 t=24715
sheng cun zhou qi 	生存週期	c=1 d=1 t=23185
sheng huo 	生活	c=2 d=0.1 t=25617
sheng huo xiang shang 	生活向上	c=1 d=1 t=25618
sheng ji 	升級	c=11 d=3.12633 t=13839
sheng ming 	生命	c=1 d=1 t=14651
sheng ming 	聲明	c=0 d=0.1 t=17811
sheng ming le 	聲明了	c=1 d=1 t=17812
sheng ming zhou qi 	生命週期	c=1 d=1 t=14503
sheng nei 	省內	c=0 d=0.1 t=27200
sheng nei cun 	省內存	c=1 d=1 t=27201
sheng xia 	剩下	c=3 d=1.00635 t=18627
sheng xiao 	生效	c=6 d=1.86057 t=26957
sheng yu 	剩餘	c=0 d=0.1 t=25762
sheng yu ren wu 	剩餘任務	c=1 d=1 t=25763
sheng yuan 	生源	c=1 d=1 t=11218
shi 	世	c=1 d=1 t=17156
shi 	事	c=6 d=1 t=24500
shi 	使	c=1 d=0.1 t=26668
shi 	屎	c=1 d=1 t=10554
shi 	是	c=471 d=2.50403 t=27330
shi 	時	c=67 d=1.39723 t=26569
shi 	視	c=1 d=1 t=6670
shi 	試	c=1 d=1.0004 t=12370
shi 	詩	c=4 d=3.2375 t=18503
shi ba 	是把	c=3 d=1 t=23671
shi bai 	失敗	c=33 d=1.0079 t=19628
shi bai de 	失敗的	c=1 d=1 t=10235
shi bai le 	失敗了	c=5 d=1 t=24234
shi bi yu 	實閉域	c=2 d=1.49164 t=8136
shi bie 	識別	c=2 d=1.92642 t=24583
shi bie chu 	識別出	c=3 d=1.02858 t=26866
shi bie wei 	識別爲	c=1 d=1 t=22581
shi bu shi 	是不是	c=17 d=1 t=26628
shi cha hai 	什剎海	c=1 d=1 t=2775
shi chang 	市場	c=1 d=1 t=23006
shi cheng 	師承	c=2 d=1 t=20499
shi ci 	十次	c=1 d=1 t=15367
shi cong 	是從	c=1 d=1 t=2152
shi cong ming 	是從命	c=1 d=1 t=8294
shi de 	使得	c=4 d=1 t=24547
shi de 	是的	c=8 d=1.00037 t=24743
shi fa 	施发	c=1 d=1 t=5736
shi fang 	釋放	c=11 d=1.89137 t=18042
shi fen 	十分	c=0 d=0.1 t=24820
shi fen wan mei 	十分完美	c=1 d=1 t=24821
shi fou 	是否	c=58 d=1.14251 t=27300
shi fou jiang 	是否將	c=1 d=1 t=26308
shi fou shi 	是否是	c=3 d=1 t=22116
shi fou wei 	是否爲	c=1 d=1 t=7237
shi fou xu yao 	是否需要	c=2 d=1 t=8880
shi fou yao 	是否要	c=2 d=1 t=25698
shi fou you 	是否有	c=4 d=1.00109 t=27126
shi ge 	是個	c=6 d=1.1462 t=23672
shi gei 	是給	c=0 d=0.1 t=10040
shi gen 	是跟	c=1 d=1 t=9703
shi guan yu 	是關於	c=1 d=1 t=11373
shi guang 	時光	c=2 d=1.91393 t=7336
shi he 	適合	c=3 d=1.97531 t=27198
shi hou 	時候	c=57 d=1.14196 t=27049
shi hua 	實話	c=1 d=1 t=27084
shi ji 	十幾	c=0 d=0.1 t=9101
shi ji 	實際	c=5 d=1.01507 t=25503
shi ji 	時機	c=7 d=1.06964 t=24654
shi ji dao 	十幾刀	c=1 d=1 t=9102
shi ji kuai 	十幾塊	c=1 d=1 t=8805
shi ji shang 	實際上	c=4 d=1.00033 t=27127
shi jian 	世间	c=1 d=1 t=2767
shi jian 	事件	c=7 d=1.45589 t=16099
shi jian 	時間	c=92 d=1.22907 t=26979
shi jian chuo 	時間戳	c=1 d=1 t=23190
shi jian dian 	時間點	c=3 d=1.89137 t=23717
shi jian hou 	時間後	c=2 d=0.100007 t=23709
shi jian lun 	時間輪	c=1 d=1 t=7158
shi jian nei 	時間內	c=1 d=1 t=20401
shi jian xian 	時間線	c=1 d=1 t=20220
shi jian zhou 	時間軸	c=1 d=1 t=16588
shi jie 	世界	c=2 d=1.05872 t=7950
shi jie guan 	世界觀	c=1 d=1 t=9374
shi jie shang 	世界上	c=1 d=1 t=6301
shi ke 	時刻	c=4 d=1.98511 t=17684
shi ke yi 	是可以	c=1 d=1 t=5304
shi li 	實例	c=2 d=1 t=4600
shi liang tu 	矢量圖	c=1 d=1 t=9073
shi ma 	是嗎	c=7 d=1.00026 t=24923
shi na ge 	是那個	c=1 d=1 t=1946
shi na yi ge 	是哪一個	c=1 d=1 t=19147
shi nian 	十年	c=1 d=1 t=22396
shi qing 	事情	c=3 d=1 t=19234
shi sha 	是啥	c=7 d=0.1 t=23460
shi shan 	屎山	c=2 d=1.9802 t=13264
shi shen me 	是什麼	c=29 d=1 t=27340
shi shen me zi 	是什麼字	c=1 d=1 t=13407
shi shi 	試試	c=2 d=1 t=27385
shi shi shang 	事實上	c=1 d=1 t=14946
shi shui 	嗜睡	c=3 d=2.91259 t=4371
shi shui 	是誰	c=1 d=1 t=3391
shi tang 	食堂	c=1 d=1 t=5146
shi ti 	实体	c=2 d=1.00391 t=10265
shi wei le 	是爲了	c=1 d=1 t=16729
shi wu 	事務	c=95 d=1.96079 t=26275
shi wu hao 	事務號	c=1 d=1 t=23
shi wu tu 	事務圖	c=1 d=1 t=6612
shi xi 	實習	c=6 d=1 t=21622
shi xi sheng 	實習生	c=3 d=1 t=4681
shi xian 	實現	c=42 d=1.00572 t=27404
shi xian de 	實現的	c=2 d=1.0001 t=24245
shi xian fang an 	實現方案	c=1 d=1 t=26388
shi xian jian dan 	實現簡單	c=1 d=1 t=12011
shi xian le 	實現了	c=3 d=1.00468 t=25291
shi xian lei 	實現類	c=1 d=1 t=18374
shi xian shang 	實現上	c=1 d=1 t=25802
shi xiang 	是想	c=0 d=0.1 t=25000
shi xiang rang 	是想讓	c=1 d=1 t=16775
shi xiang yong 	是想用	c=1 d=1 t=25001
shi xiao 	失效	c=1 d=1 t=23228
shi xiao le 	失效了	c=1 d=1 t=10693
shi xu 	時序	c=2 d=1 t=19247
shi yan 	實驗	c=5 d=1 t=17759
shi yao 	是要	c=3 d=1 t=22701
shi yi 	是以	c=7 d=1 t=26359
shi yi ge 	十一哥	c=1 d=1 t=1073
shi yi ge 	是一個	c=5 d=1.00013 t=19356
shi yi xia 	試一下	c=1 d=1 t=25212
shi yi zhong 	是一種	c=4 d=1.85656 t=22021
shi yong 	使用	c=24 d=2.65404 t=25317
shi yong 	是用	c=4 d=1 t=25253
shi yong 	適用	c=1 d=1 t=8015
shi yong liang 	使用量	c=1 d=1 t=26184
shi yong zhe 	使用者	c=1 d=1 t=733
shi you 	室友	c=0 d=0.1 t=8206
shi you 	是有	c=2 d=0.104001 t=2422
shi you dian 	是有點	c=1 d=1 t=2423
shi you ke neng 	是有可能	c=1 d=1 t=24410
shi yuan 	石原	c=0 d=0.1 t=356
shi yuan zi 	石原子	c=1 d=1 t=357
shi zai 	是在	c=8 d=1 t=24121
shi zen me 	是怎麼	c=1 d=1 t=23804
shi zhe yang 	是這樣	c=2 d=0.1 t=21815
shi zhe yang ma 	是這樣嗎	c=1 d=1 t=21816
shi zhi 	是指	c=4 d=1 t=22358
shi zhong 	始終	c=2 d=1 t=17718
shou 	受	c=0 d=0.1 t=24240
shou bu liao 	受不了	c=1 d=1 t=9087
shou dao 	收到	c=11 d=2.95072 t=22687
shou dao le 	收到了	c=1 d=1 t=8483
shou dong 	手動	c=20 d=1.00003 t=27270
shou dong ce shi 	手動測試	c=1 d=1 t=20316
shou duan 	手段	c=3 d=1.00298 t=25488
shou fa 	收發	c=4 d=1.21871 t=11474
shou ji 	手機	c=2 d=1 t=10927
shou ji 	收集	c=9 d=2.65005 t=25860
shou ji dao de 	收集到的	c=1 d=1 t=2396
shou ji ka 	手機卡	c=2 d=1.97045 t=5107
shou lian 	收斂	c=1 d=1 t=13672
shou sun 	受損	c=1 d=1 t=1483
shou suo 	收縮	c=1 d=1 t=10654
shou wei 	收尾	c=0 d=0.1 t=21241
shou wei le 	收尾了	c=1 d=1 t=21242
shou xian 	首先	c=19 d=1.20134 t=26143
shou xian kan 	首先看	c=1 d=1 t=10518
shou xian yu 	受限於	c=1 d=1 t=15297
shou yi 	受益	c=1 d=1 t=4538
shou yi 	收益	c=1 d=1 t=20816
shou yu 	授予	c=1 d=1 t=8068
shu 	數	c=15 d=1.4933 t=26873
shu 	書	c=5 d=3.00082 t=19783
shu 	樞	c=1 d=1 t=14230
shu 	樹	c=9 d=2.15363 t=27387
shu 	淑	c=1 d=1 t=15099
shu 	輸	c=1 d=1 t=11144
shu chu 	輸出	c=1 d=1 t=1154
shu fu 	舒服	c=0 d=0.1 t=9197
shu ju 	數據	c=64 d=1.00326 t=27068
shu ju an quan 	數據安全	c=2 d=1.99005 t=23151
shu ju jie gou 	數據結構	c=3 d=1 t=27389
shu ju ku 	數據庫	c=23 d=1 t=25372
shu ju liang 	數據量	c=1 d=1 t=4544
shu le 	書了	c=1 d=1 t=27374
shu li 	梳理	c=6 d=1.91558 t=21053
shu li luo ji 	數理邏輯	c=3 d=1.27665 t=7373
shu liang 	數量	c=15 d=1 t=26084
shu mu 	數目	c=3 d=1 t=26735
shu ru 	輸入	c=3 d=2.23847 t=24685
shu tan ji 	蜀譚記	c=1 d=1 t=6071
shu xi 	熟悉	c=0 d=0.1 t=5394
shu xi zhi 	熟悉值	c=1 d=1 t=5395
shu xing 	屬性	c=14 d=1.76721 t=25954
shu xue 	數學	c=3 d=0.101579 t=4958
shu xue gong shi 	數學公式	c=1 d=1 t=1179
shu xue ren 	數學人	c=1 d=1 t=4959
shu xue suo 	數學所	c=1 d=1 t=3392
shu yu 	屬於	c=2 d=1.07769 t=23857
shu yu 	術語	c=3 d=1 t=15525
shu zhi 	述職	c=1 d=1 t=27218
shu zi 	叔子	c=1 d=1 t=10844
shu zi 	數字	c=2 d=1.00007 t=12763
shua 	刷	c=0 d=0.1 t=25199
shua dao le 	刷到了	c=1 d=1 t=25200
shua guai 	刷怪	c=1 d=1 t=6309
shuang 	爽	c=0 d=0.1 t=20809
shuang a 	爽啊	c=1 d=1 t=3386
shuang chong 	雙重	c=1 d=1 t=9045
shuang xie 	雙寫	c=1 d=1 t=12508
shui 	水	c=2 d=1.00001 t=25612
shui 	睡	c=1 d=1 t=8338
shui 	誰	c=6 d=0.1 t=25119
shui hui 	誰會	c=1 d=1 t=12396
shui jiao 	睡覺	c=1 d=1 t=9057
shui lai 	誰來	c=1 d=1 t=4472
shui ping 	水平	c=3 d=1 t=27339
shui qiao xiao 	水橋孝	c=1 d=1 t=19822
shui ying gai 	誰應該	c=1 d=1 t=14715
shui yong le 	誰用了	c=1 d=1 t=25120
shun bian 	順便	c=10 d=1.01294 t=26622
shun shi 	瞬時	c=1 d=1 t=26926
shun xu 	順序	c=8 d=1 t=25018
shun xu du 	順序讀	c=1 d=1 t=1533
shuo 	說	c=2 d=1 t=24137
shuo chang 	說唱	c=1 d=1 t=20113
shuo de shi 	說的是	c=0 d=0.1 t=17910
shuo hao le 	說好了	c=2 d=1.00059 t=7939
shuo hui lai 	說回來	c=1 d=1 t=27075
shuo ming 	說明	c=20 d=1 t=27002
shuo ni ne 	說你呢	c=1 d=1 t=21729
shuo qi lai 	說起來	c=2 d=1.00014 t=7886
shuo shi 	碩士	c=5 d=1.10669 t=8074
si 	四	c=1 d=1 t=25365
si dian ban 	四點半	c=1 d=1 t=1904
si ge 	四個	c=4 d=1.96579 t=22279
si hu 	似乎	c=9 d=1 t=27130
si ji 	司機	c=31 d=8.56821 t=17797
si ji 	四机	c=1 d=1 t=16999
si kao 	思考	c=2 d=1 t=15556
si liao 	私聊	c=1 d=1 t=4880
si lu 	思路	c=17 d=1.80075 t=27231
si shen 	死神	c=1 d=1 t=24677
si suo 	死鎖	c=4 d=2.07694 t=27001
si zhong 	四種	c=3 d=1 t=26043
song 	宋	c=0 d=0.1 t=12192
song 	送	c=2 d=1.03448 t=18848
song gei 	送給	c=1 d=1 t=6180
song lao shi 	宋老師	c=1 d=1 t=12193
song shan 	嵩山	c=2 d=1.01742 t=7384
song zou 	送走	c=1 d=1 t=17740
sou 	搜	c=2 d=1 t=9906
sou suo shu 	搜索樹	c=1 d=1 t=1195
su dong 	速動	c=1 d=1 t=18242
su du 	速度	c=3 d=1 t=21962
su neng 	塑能	c=1 d=1 t=11155
suan 	算	c=10 d=1 t=27077
suan chu 	算出	c=5 d=1.3843 t=21315
suan chu lai 	算出來	c=1 d=1 t=2684
suan de 	算的	c=1 d=1 t=12831
suan fa 	算法	c=3 d=1 t=24886
suan jin 	算進	c=1 d=1 t=20645
suan le 	算了	c=1 d=0.1 t=13556
suan le yi ci 	算了一次	c=1 d=1 t=13557
suan zi 	算子	c=3 d=2.84167 t=872
sui 	歲	c=1 d=1 t=19184
sui bian 	隨便	c=3 d=1 t=22737
sui ji 	隨機	c=6 d=1.01841 t=26265
sui ji da xiao 	隨機大小	c=1 d=1 t=9211
sui ji xing 	隨機性	c=2 d=1.81465 t=18159
sui ran 	雖然	c=8 d=1.00651 t=27022
sui shi 	隨時	c=1 d=1 t=8595
suo 	所	c=2 d=1.05727 t=15842
suo 	鎖	c=24 d=1 t=27282
suo de 	所得	c=1 d=1 t=8432
suo de 	鎖的	c=1 d=1 t=11943
suo de shui 	所得稅	c=1 d=1 t=319
suo shang 	鎖上	c=1 d=1 t=3538
suo shi 	所示	c=2 d=1 t=15937
suo ya 	索亞	c=1 d=1 t=25416
suo yi 	所以	c=86 d=1.44125 t=27202
suo yi bao xian qi jian 	所以保險起見	c=1 d=1 t=7754
suo yi shi 	所以是	c=2 d=1.03439 t=25593
suo yin 	索引	c=6 d=0.451192 t=25742
suo yong 	所用	c=1 d=1 t=15277
suo you 	所有	c=46 d=1.00119 t=25287
suo you ren 	所有人	c=2 d=1.05813 t=8406
suo zhu 	鎖住	c=5 d=1 t=16991
ta 	他	c=8 d=1 t=17932
ta 	她	c=3 d=1 t=9129
ta 	它	c=87 d=1.00208 t=27111
ta de 	它的	c=15 d=1.39518 t=26583
ta ma 	他媽	c=1 d=1.1346 t=8225
ta men 	他們	c=5 d=1 t=23019
ta men 	它們	c=15 d=1.00005 t=26130
ta shi 	它是	c=3 d=1 t=27115
ta xu yao 	它需要	c=1 d=1 t=21797
ta you 	它有	c=1 d=1 t=18920
tai 	太	c=5 d=0.1 t=25157
tai 	臺	c=1 d=1 t=10411
tai chang 	太長	c=1 d=1 t=2500
tai chang le 	太長了	c=1 d=1 t=1105
tai da 	太大	c=2 d=1 t=10392
tai diao le 	太掉了	c=1 d=1 t=392
tai dong 	太懂	c=1 d=1 t=22414
tai duo 	太多	c=4 d=1.01538 t=20972
tai duo le 	太多了	c=4 d=1 t=25184
tai gao 	太高	c=1 d=1 t=12457
tai gao le 	太高了	c=1 d=1 t=21251
tai hao 	太好	c=0 d=0.1 t=25464
tai hao ce shi 	太好測試	c=1 d=1 t=25465
tai lei le 	太累了	c=1 d=1 t=6091
tai man le 	太慢了	c=1 d=1 t=4760
tai niu le 	太牛了	c=1 d=1 t=19483
tai qiang le 	太強了	c=1 d=1 t=25468
tai re 	太熱	c=0 d=0.1 t=14458
tai re le 	太熱了	c=1 d=1 t=14459
tai shao 	太少	c=0 d=0.1 t=5820
tai shao le 	太少了	c=1 d=1 t=8915
tai yi 	太一	c=0 d=0.1 t=10982
tai yuan le 	太遠了	c=1 d=1 t=6760
tai zhun le 	太准了	c=1 d=1 t=25158
tan hao 	歎號	c=1 d=1 t=27342
tan xian 	探險	c=1 d=1 t=4394
tang 	唐	c=1 d=1 t=12379
tang 	湯	c=1 d=1 t=12196
tang 	趟	c=0 d=0.1 t=6430
tao 	套	c=0 d=0.1 t=26650
tao bi 	逃避	c=2 d=1.96079 t=4369
tao lun 	討論	c=5 d=1.13488 t=27378
tao lun le 	討論了	c=1 d=1 t=26770
tao qian 	討錢	c=1 d=1 t=8270
te bie 	特別	c=3 d=1 t=24466
te bie de 	特別的	c=3 d=1 t=19123
te ding 	特定	c=4 d=2.42346 t=2135
te li 	特例	c=1 d=1 t=10154
te se 	特色	c=1 d=1 t=1164
te shu 	特殊	c=10 d=1 t=16905
te shu hua 	特殊化	c=1 d=1 t=10145
te shu qing kuang 	特殊情況	c=1 d=1 t=9595
te xing 	特性	c=1 d=0.1 t=26679
teng xun 	騰訊	c=3 d=1 t=20188
ti 	提	c=0 d=0.1 t=2891
ti bu chu 	提不出	c=1 d=1 t=5112
ti chu 	剃除	c=0 d=0.1 t=10502
ti chu diao 	剃除掉	c=1 d=1 t=10503
ti chu lai 	提出來	c=0 d=0.1 t=27189
ti dai 	替代	c=2 d=1 t=21016
ti dao bao 	踢到寶	c=1 d=1 t=22178
ti dao le 	提到了	c=1 d=1 t=1514
ti gao 	提高	c=6 d=1 t=26221
ti gong 	提供	c=14 d=1.10916 t=23893
ti gong yi ge 	提供一個	c=1 d=1 t=4195
ti huan 	提環	c=2 d=1.00543 t=11053
ti huan 	替換	c=1 d=1 t=11058
ti jian 	體檢	c=1 d=1 t=9896
ti jiao 	提交	c=27 d=1.00142 t=24367
ti ku 	題庫	c=1 d=1 t=27420
ti mu er 	提目二	c=1 d=1 t=2892
ti qian 	提前	c=3 d=1 t=17994
ti sheng 	提升	c=16 d=1 t=27090
ti shi 	提示	c=1 d=1 t=22904
ti xi 	體系	c=3 d=2.58535 t=5363
ti xian zai 	體現在	c=1 d=1 t=21617
ti xiao 	體校	c=1 d=1 t=2776
ti yan 	體驗	c=3 d=1.46245 t=6304
ti yan hen hao 	體驗很好	c=1 d=1 t=5154
tian 	填	c=3 d=1 t=23932
tian 	天	c=5 d=1 t=27344
tian cai 	天才	c=1 d=1 t=27366
tian de 	填的	c=1 d=1 t=18324
tian hao 	填好	c=0 d=0.1 t=10308
tian hao le 	填好了	c=1 d=1 t=10309
tian jia 	添加	c=4 d=1.00008 t=24400
tian jin 	填進	c=3 d=2.49939 t=17140
tian le 	填了	c=1 d=1 t=22951
tian long 	天龙	c=1 d=1 t=6583
tian man 	填滿	c=1 d=1 t=4090
tian qi 	天氣	c=2 d=1 t=17206
tian ran yan 	天然鹽	c=1 d=1 t=13400
tian shang 	填上	c=1 d=1 t=23067
tian xie 	填寫	c=4 d=1.94649 t=15648
tian xin nu 	天心怒	c=1 d=1 t=19625
tian zai 	填在	c=1 d=1 t=21626
tiao 	條	c=9 d=1.35715 t=26882
tiao 	調	c=5 d=1 t=22530
tiao ban 	跳板	c=0 d=0.1 t=18507
tiao ban ji 	跳板機	c=1 d=1 t=18508
tiao cheng 	調成	c=1 d=1 t=4601
tiao guo 	跳過	c=3 d=1 t=27294
tiao guo le 	跳過了	c=1 d=1 t=25301
tiao jian 	條件	c=17 d=1.00018 t=22566
tiao jian de 	條件的	c=1 d=1 t=22559
tiao jian jian cha 	條件檢查	c=1 d=1 t=10903
tiao xiu 	調休	c=1 d=1 t=4379
tiao zheng 	調整	c=6 d=2.07597 t=22998
tiao zhuan 	跳轉	c=0 d=0.1 t=541
tiao zhuan dao 	跳轉到	c=1 d=1 t=542
tie 	鐵	c=2 d=1 t=11104
tie you 	鐵有	c=1 d=1 t=27089
tie zi 	帖子	c=1 d=1 t=7705
ting 	停	c=1 d=1 t=9755
ting 	婷	c=2 d=1 t=15345
ting 	挺	c=2 d=1 t=22419
ting 	聽	c=2 d=1 t=15346
ting bu dao 	聽不到	c=0 d=0.1 t=19443
ting dao 	聽到	c=0 d=0.1 t=19442
ting dian 	聽點	c=1 d=1 t=268
ting diao 	停掉	c=1 d=1 t=16088
ting gao 	挺高	c=0 d=0.1 t=7867
ting gao de 	挺高的	c=2 d=1.00557 t=8906
ting gui 	挺貴	c=0 d=0.1 t=6225
ting gui de 	挺貴的	c=1 d=1 t=6226
ting hao de 	挺好的	c=5 d=1 t=22945
ting pian yi 	挺便宜	c=1 d=1 t=5148
ting que ren 	挺缺人	c=1 d=1 t=4803
ting shuang 	挺爽	c=1 d=1 t=5177
ting you 	挺有	c=0 d=0.1 t=5561
ting you yong 	挺有用	c=1 d=1 t=5562
ting zai 	停在	c=1 d=1 t=18626
ting zhi 	停止	c=2 d=1 t=15835
tong bao 	通報	c=1 d=1 t=13609
tong bu 	同步	c=46 d=1.62141 t=26912
tong bu dao 	同步到	c=2 d=1 t=23405
tong cheng 	同城	c=1 d=1 t=13404
tong guo 	通過	c=45 d=1.06182 t=27292
tong ji 	統計	c=62 d=2.90653 t=25962
tong ji chu 	統計出	c=1 d=1 t=1455
tong ji da xue 	同濟大學	c=1 d=1 t=18449
tong ji de 	統計的	c=1 d=1 t=18789
tong ji hao le 	統計好了	c=1 d=1 t=1444
tong ji le 	統計了	c=1 d=1 t=21888
tong ji shi 	統計時	c=1 d=1 t=14169
tong ji xin xi 	統計信息	c=4 d=2.57967 t=21605
tong ku 	痛哭	c=2 d=1 t=24856
tong ku 	痛苦	c=3 d=1.50662 t=24993
tong shi 	同事	c=2 d=1.00061 t=6280
tong shi 	同時	c=14 d=1.05999 t=26890
tong su 	通俗	c=1 d=1 t=1284
tong xiao 	通宵	c=1 d=1 t=388
tong xue 	同學	c=1 d=1 t=27249
tong yang 	同樣	c=4 d=3.36401 t=19928
tong yi 	同一	c=3 d=2.91708 t=14319
tong yi 	統一	c=8 d=1.01878 t=26313
tong yi de 	統一的	c=1 d=1 t=8552
tong yi ge 	同一個	c=6 d=1.00037 t=25473
tong yi tiao 	同一條	c=2 d=1.956 t=26381
tong yong 	通用	c=3 d=0.1 t=27034
tong zhi 	通知	c=9 d=1.39455 t=23030
tou 	頭	c=1 d=1 t=10088
tou chi 	偷喫	c=1 d=1 t=361
tou de 	投的	c=0 d=0.1 t=4924
tou piao 	投票	c=6 d=2.16053 t=10180
tou song 	投送	c=0 d=0.1 t=433
tou teng 	頭疼	c=1 d=1 t=18961
tou wen jian 	頭文件	c=1 d=1 t=18390
tou xu 	頭緒	c=1 d=1 t=18219
tou zi 	投資	c=1 d=1 t=25151
tu 	圖	c=8 d=1 t=24428
tu 	土	c=1 d=1 t=25150
tu jing 	途徑	c=1 d=1 t=20174
tu ran 	突然	c=5 d=1 t=18006
tu shu guan 	圖書館	c=2 d=1.99005 t=4285
tuan 	團	c=0 d=0.1 t=25610
tuan dui 	團隊	c=1 d=1 t=18438
tuan guan xi 	團關係	c=1 d=1 t=25611
tuan jian 	團建	c=1 d=1 t=18235
tui chu 	推出	c=1 d=1 t=8127
tui chu 	退出	c=4 d=1 t=20994
tui dao 	推到	c=1 d=1 t=14944
tui duan chu 	推斷出	c=1 d=1 t=8541
tui guang 	推廣	c=1 d=0.1 t=12656
tui guang wei 	推廣爲	c=1 d=1 t=12657
tui hua 	退化	c=6 d=1 t=17466
tui jian 	推薦	c=3 d=1 t=19784
tui jian biao 	推薦表	c=7 d=1.99902 t=11208
tui jin 	推進	c=3 d=1.00711 t=16482
tui ru 	推入	c=7 d=1.79378 t=16063
tui su 	退宿	c=1 d=1 t=9826
tuo 	坨	c=1 d=1 t=22427
tuo 	拖	c=2 d=1.98511 t=8266
tuo shen 	脫身	c=1 d=1 t=1894
wa jue chu lai 	挖掘出來	c=1 d=1 t=9862
wa o 	哇哦	c=2 d=1 t=24964
wai 	外	c=1 d=1 t=21515
wai bao 	外包	c=1 d=1 t=20952
wai bao le 	外包了	c=1 d=1 t=354
wai bu 	外部	c=3 d=1 t=18054
wai er fang 	外爾房	c=2 d=1.00001 t=3649
wai jia 	外加	c=1 d=1 t=1764
wai mai 	外賣	c=3 d=1 t=17679
wai mian 	外面	c=2 d=1 t=23307
wai yu 	外語	c=1 d=1 t=8084
wai yu 	外遇	c=1 d=1 t=8083
wan 	完	c=8 d=0.139164 t=22755
wan 	玩	c=3 d=1 t=9371
wan cheng 	完成	c=17 d=1.00152 t=18863
wan dan 	完蛋	c=2 d=1 t=23090
wan dan le 	完蛋了	c=3 d=1 t=23320
wan hua 	萬華	c=0 d=0.1 t=1876
wan hua jing 	萬華鏡	c=1 d=1 t=1877
wan le 	完了	c=1 d=1 t=7203
wan le 	玩了	c=1 d=1 t=14457
wan mei 	完美	c=0 d=0.1 t=24820
wan quan 	完全	c=3 d=1.0001 t=24289
wan shan 	完善	c=1 d=1 t=27143
wan shan le 	完善了	c=1 d=1 t=21949
wan shang 	晚上	c=9 d=1.00002 t=24850
wan yu 	晚於	c=1 d=1 t=18352
wan zheng xing 	完整性	c=1 d=1 t=24652
wang 	往	c=10 d=0.119174 t=26492
wang 	王	c=7 d=1 t=19187
wang 	網	c=2 d=1.00003 t=14244
wang guo 	王國	c=1 d=1 t=422
wang jian 	王建	c=0 d=0.1 t=27416
wang jian li 	王建立	c=1 d=1 t=27417
wang le 	忘了	c=3 d=1 t=24433
wang luo 	網絡	c=4 d=1.85699 t=27426
wang luo dou dong 	網絡抖動	c=1 d=1 t=9402
wang shang 	往上	c=0 d=0.1 t=14751
wang shang 	網上	c=1 d=1 t=7069
wang shang ceng 	往上層	c=1 d=1 t=14752
wang shang chuan 	往上傳	c=1 d=1 t=11492
wang wei 	王瑋	c=1 d=1 t=6565
wang xia 	往下	c=0 d=0.1 t=25658
wang xia yi 	往下移	c=1 d=1 t=25659
wang xian 	網線	c=1 d=1 t=8797
wang xing 	王兴	c=1 d=1 t=12150
wang ye 	網頁	c=0 d=0.1 t=6574
wang ye you xi 	網頁遊戲	c=1 d=1 t=6575
